Chunk,Frame,PSNR (dB),SSIM
46,296,37.8697,0.981605
46,297,38.3269,0.982391
46,298,38.3677,0.982665
46,299,38.7919,0.983337
46,300,38.8241,0.983563
46,301,39.2318,0.983719
46,302,39.3508,0.984363
46,303,39.9369,0.985456
46,304,40.0124,0.985718
46,305,40.2736,0.986196
46,306,40.5746,0.986671
46,307,40.8275,0.987162
46,308,40.8939,0.987285
46,309,41.2694,0.987743
46,310,41.273,0.987806
46,311,41.3618,0.987954
46,312,41.3401,0.988087
46,313,41.5086,0.988333
46,314,41.5647,0.988464
46,315,42.3855,0.989498
46,316,41.9806,0.989421
46,317,42.1526,0.989579
46,318,42.1056,0.989543
46,319,42.2239,0.989587
46,320,42.2012,0.989729
46,321,42.2275,0.989742
46,322,42.2839,0.989806
46,323,42.4475,0.989897
46,324,42.2276,0.989885
46,325,42.4118,0.990058
46,326,42.4475,0.990117
46,327,42.5346,0.990079
46,328,42.3627,0.990117
46,329,42.3782,0.990095
46,330,42.4027,0.990108
46,331,42.4805,0.990057
46,332,42.3456,0.990146
46,333,42.1786,0.990007
46,334,42.3718,0.990229
46,335,42.5552,0.99015
46,336,42.3766,0.990188
46,337,42.4231,0.990243
46,338,42.3499,0.990164
46,339,42.4138,0.990015
46,340,42.3287,0.990195
46,341,42.3264,0.990168
46,342,42.3313,0.990188
46,343,42.3904,0.99007
46,344,42.3427,0.990234
46,345,42.9588,0.99084
46,346,42.593,0.990589
46,347,42.8196,0.990625
46,348,42.7512,0.990736
46,349,42.6719,0.990717
46,350,42.6198,0.990596
46,351,42.625,0.99034
46,352,42.4079,0.990383
46,353,42.4275,0.990333
46,354,42.3943,0.990298
46,355,42.515,0.9902
46,356,42.4297,0.990262
46,357,42.4698,0.99029
46,358,42.5304,0.990331
46,359,42.5739,0.990273
46,360,42.4852,0.990366
46,361,42.4952,0.990062
46,362,42.2724,0.990061
46,363,42.2416,0.989991
46,364,42.2104,0.989957
46,365,42.3189,0.989825
46,366,42.1963,0.989895
46,367,42.1964,0.989919
46,368,42.1514,0.989963
