Frame,PSNR,SSIM
599,32.9627,0.944637
600,33.2115,0.946322
601,33.101,0.945452
602,33.1865,0.945701
603,32.9011,0.943191
604,33.0966,0.944614
605,32.948,0.942967
606,32.9321,0.942688
607,32.5327,0.939462
608,32.8148,0.941747
609,32.772,0.941011
610,32.9037,0.941753
611,32.6084,0.939112
612,32.8212,0.940596
613,32.5854,0.938246
614,32.578,0.938152
615,32.3766,0.936169
616,32.6152,0.937999
617,32.4841,0.936351
618,33.836,0.948945
619,33.2295,0.944841
620,33.3943,0.94582
621,33.3719,0.944923
622,33.1612,0.943417
623,33.2269,0.943334
624,33.0974,0.94256
625,33.1018,0.942089
626,32.9881,0.940983
627,32.9253,0.940077
628,32.8454,0.939598
629,32.9048,0.939824
630,32.7657,0.938348
631,32.7357,0.937681
632,32.6535,0.937162
633,32.7366,0.937647
634,32.6038,0.936441
635,32.5903,0.93579
636,32.5094,0.93554
637,32.6551,0.936521
638,32.4839,0.934935
639,32.5167,0.934538
640,32.3946,0.933708
641,32.3644,0.935221
642,32.6048,0.936454
643,32.3496,0.933522
644,32.6509,0.936155
645,32.49,0.934461
646,32.6374,0.935562
647,32.3624,0.932495
648,32.6354,0.93534
649,32.4549,0.933378
650,32.5638,0.934123
651,32.2982,0.930837
652,32.5616,0.933828
653,32.3494,0.931524
654,32.5065,0.932674
655,32.2807,0.929547
656,32.4952,0.93219
657,32.2858,0.929752
658,32.4934,0.931322
659,32.2653,0.928148
660,32.481,0.930405
661,32.2815,0.92794
662,32.4613,0.929263
663,32.2107,0.925828
664,32.4896,0.928827
665,32.3218,0.926602
666,32.5241,0.928218
667,32.322,0.925392
668,32.3578,0.925834
669,32.3705,0.92507
670,32.2316,0.92352
671,32.1993,0.922393
672,32.3763,0.924361
673,32.3063,0.923023
674,32.1883,0.921582
675,32.175,0.920578
676,32.3594,0.922805
677,32.2391,0.921022
678,32.2128,0.920224
679,32.0639,0.917922
680,32.2361,0.920034
681,32.1125,0.918024
682,32.1321,0.917907
683,32.2315,0.918499
684,32.2233,0.918811
685,32.3863,0.92021
686,32.4475,0.920424
687,32.0203,0.915328
688,32.9994,0.927565
689,32.6014,0.92291
690,32.5278,0.921267
691,32.7556,0.923578
692,32.9827,0.925462
693,33.2216,0.927444
694,32.9544,0.925599
695,33.1226,0.926305
696,33.0152,0.926399
697,33.3116,0.928026
698,32.9446,0.92433
699,33.1829,0.925976
700,33.1315,0.925762
701,33.341,0.927698
702,33.0961,0.925724
703,33.2295,0.925876
704,33.0939,0.925845
705,33.328,0.927096
706,33.1999,0.925576
707,33.2177,0.924671
708,33.0516,0.924284
709,33.3579,0.926356
710,32.9185,0.922212
711,33.1778,0.923512
712,32.9396,0.92202
713,33.2696,0.924765
714,33.0676,0.922856
715,33.1358,0.922556
716,33.3446,0.925371
717,32.9911,0.921397
718,33.2516,0.923802
719,32.9613,0.919998
720,33.393,0.924847
721,33.1327,0.922161
722,33.3258,0.92363
723,32.9187,0.918774
724,33.3776,0.924062
725,33.0465,0.920521
726,33.4021,0.923782
727,32.864,0.917654
728,33.3015,0.922212
729,33.0698,0.919648
730,33.3353,0.922564
731,33.2179,0.920379
732,32.6112,0.91635
733,33.1944,0.920544
734,32.9244,0.917727
735,32.9902,0.917608
736,32.9802,0.918375
737,33.1605,0.91918
738,32.9236,0.917297
739,33.0354,0.91705
740,32.9705,0.917706
741,33.0747,0.918001
742,32.8895,0.915954
743,33.0284,0.916356
744,32.95,0.916975
745,33.084,0.917561
746,33.2005,0.918728
747,32.7888,0.913746
748,33.5265,0.922337
749,33.1088,0.917931
750,31.5553,0.893131
751,31.9468,0.89927
752,31.7716,0.897187
753,32.1168,0.90199
754,31.6021,0.893295
755,32.0641,0.902005
756,31.8701,0.8982
757,32.1196,0.902742
758,31.7778,0.896915
759,32.06,0.902675
760,31.926,0.899599
761,32.0383,0.902046
762,31.8648,0.898172
763,32.0031,0.902022
764,31.8597,0.898908
765,31.9958,0.901743
766,31.736,0.896798
767,31.9149,0.901098
768,31.7313,0.897418
769,31.0329,0.888094
770,31.5836,0.89597
771,31.2785,0.893087
772,31.2855,0.892227
773,31.3019,0.892474
774,31.2432,0.890158
775,31.3648,0.893739
776,31.2699,0.890964
777,31.2847,0.891273
778,31.1233,0.887345
779,31.328,0.891825
780,31.3167,0.891232
781,31.5006,0.894463
782,31.2862,0.889797
783,31.4653,0.893846
784,31.3735,0.891514
785,31.5183,0.894222
786,31.4225,0.89139
787,31.5009,0.894474
788,31.5686,0.894146
789,31.5396,0.89478
790,31.5102,0.892695
791,31.5666,0.895246
792,31.6776,0.895737
793,31.597,0.895304
794,31.5574,0.893171
795,31.5847,0.895425
796,31.6964,0.89573
797,31.6296,0.895584
798,31.5688,0.893212
799,31.7825,0.897738
800,31.559,0.893851
801,31.8073,0.897338
802,31.4224,0.891333
803,31.7543,0.896911
804,31.4702,0.89255
805,31.7259,0.896227
